action,group
ActionAddDelegateVla,VLA
ActionDelegateVla,VLA
ActionSaveDelegatedVla,VLA
ActionConfirmDeleteDVLA,VLA
ActionRemoveSelectedDvla,VLA
ActionViewDvlaConsumers,VLA
ActionCreateOfficesTempl,Office
ActionDeleteOfficesTempl,Office
ActionLoadOfficesTempl,Office
ActionSaveOfficesTemplate,Office
ActionDisplayACLforPermission,ACL
ActionDisplayDelegatedACLsForCons,ACL
ActionDisplayGeneratedACLsForCons,ACL
ActionFilterACLPermission,ACL
ActionFilterByApp,ACL
ActionFilterByAppACL,ACL
ActionLaunRemDelegACL,ACL
ActionModifyValidity,ACL
ActionOneUserRoleDetails,ACL
ActionRemoveACL,ACL
ActionRemoveACLDelStep2,ACL
ActionRemoveAclLaunch,ACL
ActionRemoveDataToAcl,ACL
ActionRemoveOneUserRole,UserUpdate
ActionResetPwdDisplayed,UserUpdate
ActionRoleToAssignDetails,UserUpdate
ActionAddDataToACL,ACL
ActionCreateACLConfirmation,ACL
ActionCreateACLConfirmation2,ACL
ActionCreateACLConfirmation3,ACL
ActionCreateAclForRole,ACL
ActionCreateAclForRole2,ACL
ActionFilterACLPtsForApp,ACL
ActionFilterRolesForACL,ACL
ActionLinkCreateACLForRole,ACL
ActionAddApplication,Application
ActionConfirmCreateSubApp,Application
ActionCreateAppTemplate,Application
ActionCreateApplication,Application
ActionCreateSubApp,Application
ActionCreateSubAppACL,ACL
ActionRemoveApplication,Application
ActionDisplayOneAppli,Application
ActionEnterCreateData,Application
ActionFilterRolesForApp,Application
ActionFindAppInTree,Application
ActionManageAppRole,Application
ActionSearchCrossApp,Application
ActionAddAttribute,UserUpdate
ActionRemoveAttribute,UserUpdate
ActionUpdateAttribute,UserUpdate
ActionAddDatatoDataList,Data
ActionCreateData,Data
ActionCreateDataButton,Data
ActionCreateDataList,Data
ActionCreateDataListStep1,Data
ActionCreateDataListStep2,Data
ActionCreateDataType,Data
ActionDeleteOneAppData,Data
ActionDeleteOneAppData2,Data
ActionFilterDataInTree,Data
ActionFilterDatasForApp,Data
ActionRemoveDatafrDataList,Data
ActionSearchAvailableData,Data
ActionUpDataConfirm,Data
ActionUpdateData,Data
ActionUpdateDatalist,Data
ActionUpdateDatalistWRemove,Data
ActionDelegateACL1,ACL
ActionDelegateACL2,ACL
ActionDelegateACL3,ACL
ActionDelegateACLConf1,ACL
ActionDelegateACLConf2,ACL
ActionDelegateACLConf3,ACL
ActionSearchACLForDelegACL,ACL
ActionSearchRoleForDelegACL,ACL
ActionBrowseOffice,Office
